TagName,TagValue,TagQuality
ER_ICTS.STN.MW.MTN2,#N/A,0
ER_ICTS.STN.MW.JSR1,#N/A,0
ER_ICTS.STN.MW.JSR2,#N/A,0
ER_ICTS.STN.MW.RKL1,#N/A,0
ER_ICTS.STN.MW.RKL2,#N/A,0
ER_ICTS.STN.MW.RGP1,#N/A,0
ER_ICTS.STN.MW.RGP2,#N/A,0
ER_ICTS.STN.MW.JPE1,#N/A,0
ER_ICTS.STN.MW.JPE2,#N/A,0
ER_ICTS.STN.MW.BNG,#N/A,0
ER_ICTS.STN.MW.PUR1,#N/A,0
ER_ICTS.STN.MW.PUR2,#N/A,0
ER_ICTS.STN.MW.BRD,#N/A,0
ER_ICTS.STN.MW.SAS1,#N/A,0
ER_ICTS.STN.MW.SAS2,#N/A,0
ER_ICTS.STN.MW.BRP1,#N/A,0
ER_ICTS.STN.MW.BRP2,#N/A,0
ER_ICTS.STN.MW.SLG,#N/A,0
ER_ICTS.STN.MW.MLD1,#N/A,0
ER_ICTS.STN.MW.MLD2,#N/A,0
ER_ICTS.STN.MW.MLD3,#N/A,0
ER_ICTS.STN.MW.ARH1,#N/A,0
ER_ICTS.STN.MW.ARH2,#N/A,0
ER_ICTS.STN.MW.KHG1,#N/A,0
ER_ICTS.STN.MW.KHG2,#N/A,0
ER_ICTS.STN.MW.TAL1,#N/A,0
ER_ICTS.STN.MW.TAL2,#N/A,0
ER_ICTS.STN.MW.RNG,#N/A,0
ER_ICTS.STN.MW.KTP1,#N/A,0
ER_ICTS.STN.MW.KTP2,#N/A,0
ER_ICTS.STN.MW.BKW1,#N/A,0
ER_ICTS.STN.MW.BKW2,#N/A,0
ER_ICTS.STN.MW.JRT1,#N/A,0
ER_ICTS.STN.MW.JRT2,#N/A,0
ER_ICTS.STN.MW.JRT3,#N/A,0
ER_ICTS.STN.MW.ARB1,-85.274429,1
ER_ICTS.STN.MW.ARB2,-81.945763,1
ER_ICTS.STN.MW.MRM1,#N/A,0
ER_ICTS.STN.MW.MRM2,#N/A,0
ER_ICTS.STN.MW.IVT,#N/A,0
ER_LINES.LINE.MZP-PUR1.MW,#N/A,0
ER_LINES.LINE.MZP-PUR2.MW,#N/A,0
ER_LINES.LINE.BNG-THP1.MW,#N/A,0
ER_LINES.LINE.BNG-THP2.MW,#N/A,0
ER_LINES.LINE.BNG-THP3.MW,#N/A,0
ER_LINES.LINE.BNG-THP4.MW,#N/A,0
ER_IR_EX.STN.MW.GKP-MZP1,#N/A,0
ER_IR_EX.STN.MW.GKP-MZP2,#N/A,0
ER_ICTS.STN.MW.MZP1,#N/A,0
ER_ICTS.STN.MW.MZP2,#N/A,0
ER_STN.STN.VOLTAGE.MZP,#N/A,0
ER_LINES.LINE.BNG-PUR1.MW,#N/A,0
ER_LINES.LINE.BNG-PUR2.MW,#N/A,0
ER_DW_SC.STN.MW.ER_NR,154.860001,1
ER_DW_SC.STN.MW.ER_WR,-1170.47998,1
ER_DW_SC.STN.MW.ER_SR,2392.73999,1
ER_DW_SC.STN.MW.ER_NER,684.059998,1
ER_DW_SC.STN.MW.ER_IR,2061.180176,1
ER_DW_SC.STN.MW.ER_ST,9528.219727,1
ER_AT_SC.STN.MW.ER_IR,997.016724,1
ER_AT_SC.STN.MW.ER_ST,9327.858398,1
ER_AT_SC.STN.MW.ER_NR,-2776.961182,1
ER_AT_SC.STN.MW.ER_WR,-51.303009,1
ER_AT_SC.STN.MW.ER_SR,3610.486328,1
ER_AT_SC.STN.MW.ER_NER,214.794556,1
ER_ISGS_ACT.STN.MW.TAL2,1082.911621,1
ER_GEN.STN.MW.TGENH,,1
